userid	timestamp	artid	artname	traid	traname
user_000003	2009-01-08T22:56:01Z	e9aca1a3-836a-4e5e-b8d4-56d20c60af5f	Beulah	4860bff6-b4ca-41b8-9831-bc95ffa9046f	Landslide Baby
user_000003	2009-01-08T22:51:30Z	e9aca1a3-836a-4e5e-b8d4-56d20c60af5f	Beulah	ec7237d8-bdb5-4482-b7e8-d4bafb6e6ece	A Man Like Me
user_000003	2009-01-08T22:48:41Z	e9aca1a3-836a-4e5e-b8d4-56d20c60af5f	Beulah	37ce7e1b-fd17-4e14-bb60-1ad7da1b30c5	Sunken Treasure
user_000003	2009-01-08T22:45:06Z	e9aca1a3-836a-4e5e-b8d4-56d20c60af5f	Beulah	c35ca8e6-8ef5-49a5-b161-9a938b8d87bf	All Points North
user_000003	2009-01-08T22:41:48Z	e9aca1a3-836a-4e5e-b8d4-56d20c60af5f	Beulah	b6f33508-e68e-4e99-ae1f-5810982853b4	If We Can Land A Man On The Moon
user_000002	2006-03-06T19:20:24Z	97ec4bef-d716-492a-83a1-4cfed3f7a049	Slut	3e7d8f5f-a394-4035-8a8e-ce2544d8548e	Universal
user_000002	2006-03-06T19:15:33Z	97ec4bef-d716-492a-83a1-4cfed3f7a049	Slut	e4ed305c-e97f-4da6-b85e-8534b1177084	Reminder
user_000002	2006-03-06T19:11:43Z	97ec4bef-d716-492a-83a1-4cfed3f7a049	Slut	ecf06f0b-4174-4c5c-aa7f-22262bbbda4d	Easy To Love
user_000001	2009-05-03T14:28:02Z	f945fc79-fb9e-4e3e-b60a-f4a90f5a6d38	Karma	b79e44f0-2a27-4f50-8a08-ce959a48c9c0	Beach Towel
user_000001	2009-05-03T14:20:15Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Eight
user_000001	2009-05-03T14:07:40Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Seven
user_000001	2009-05-03T14:01:15Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Six
user_000001	2009-05-03T13:56:25Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Five
user_000001	2009-05-03T13:47:20Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Four
user_000001	2009-05-03T13:40:46Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Three
user_000001	2009-05-03T13:36:15Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Two
user_000001	2009-05-03T13:32:44Z	4f69da4b-55a9-434c-a150-6de477d8808f	The Young Lovers	f2a38e8c-2eb1-4f47-b3be-bf613153631e	How Lonely Does It Get
user_000004	2009-05-03T14:07:40Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Seven
user_000004	2009-05-03T14:01:15Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Six
user_000004	2009-05-03T13:56:25Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Five
user_000004	2009-05-03T13:47:20Z	ce559a88-58ba-4d8a-8456-9177412d609c	Masomenos		Four
